                   x                   y                   u                   w                 rho                   T                   p                  mu                 mut                  yp                   k                 eps                  v2                  om                nuSA              alphat                 Prt                  kt                epst                 Pkt               qwall                ttau               twall                tauw                utau               yplus               tplus               uplus               resKt               resEt
   0.0000000000E+000   0.3081632689E+000   0.0000000000E+000   0.1628759733E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7826509312E-001   0.0000000000E+000   0.1111577772E+001   0.1425635325E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7825473338E-001   0.5000661924E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2332552371E+003                 NaN   0.1966086918E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.3180270477E+000   0.0000000000E+000   0.1624946400E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7864902237E-001   0.0000000000E+000   0.1135956738E+001   0.1481424985E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7863866256E-001   0.5000658697E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2299296287E+003                 NaN   0.1961483818E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.3278618494E+000   0.0000000000E+000   0.1621042897E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7902202257E-001   0.0000000000E+000   0.1160604523E+001   0.1538951839E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7901166269E-001   0.5000655592E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2266137900E+003                 NaN   0.1956771874E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.3376647426E+000   0.0000000000E+000   0.1617051737E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7938219183E-001   0.0000000000E+000   0.1185490226E+001   0.1598216164E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7937183188E-001   0.5000652621E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2233087094E+003                 NaN   0.1951954117E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.3474328352E+000   0.0000000000E+000   0.1612975388E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.7972773733E-001   0.0000000000E+000   0.1210584142E+001   0.1659219974E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.7971737732E-001   0.5000649796E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2200153619E+003                 NaN   0.1947033529E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.3571632768E+000   0.0000000000E+000   0.1608816271E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.8005697995E-001   0.0000000000E+000   0.1235857774E+001   0.1721967098E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.8004661988E-001   0.5000647127E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2167347086E+003                 NaN   0.1942013030E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.3668532627E+000   0.0000000000E+000   0.1604576758E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.8036835708E-001   0.0000000000E+000   0.1261283839E+001   0.1786463237E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.8035799695E-001   0.5000644623E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2134676951E+003                 NaN   0.1936895485E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.3765000363E+000   0.0000000000E+000   0.1600259167E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.8066042413E-001   0.0000000000E+000   0.1286836255E+001   0.1852716004E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.8065006395E-001   0.5000642292E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2102152507E+003                 NaN   0.1931683692E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.3861008928E+000   0.0000000000E+000   0.1595865765E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.8093185489E-001   0.0000000000E+000   0.1312490126E+001   0.1920734954E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.8092149466E-001   0.5000640141E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2069782875E+003                 NaN   0.1926380387E+002   0.0000000000E+000   0.0000000000E+000
   0.0000000000E+000   0.3956531813E+000   0.0000000000E+000   0.1591398765E+002   0.1000000000E+001   0.0000000000E+000  -0.0000000000E+000   0.2531645570E-002   0.8118144079E-001   0.0000000000E+000   0.1338221724E+001   0.1990531606E+001   0.6666666667E-001   0.0000000000E+000   0.0000000000E+000   0.8117108052E-001   0.5000638175E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.0000000000E+000   0.1000000000E+001   0.5000000002E+000   0.7071067813E+000   0.2037576991E+003                 NaN   0.1920988240E+002   0.0000000000E+000   0.0000000000E+000
