                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2
  0.950705863535E+00  0.000000000000E+00  0.117828147317E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.190428616731E-01  0.902124942347E-02  0.134199624044E+00  0.000000000000E+00  0.000000000000E+00
  0.954082203526E+00  0.000000000000E+00  0.114928072648E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.178505063403E-01  0.760015879843E-02  0.134734155238E+00  0.000000000000E+00  0.000000000000E+00
  0.957307781791E+00  0.000000000000E+00  0.111759313591E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.166934445691E-01  0.630170970215E-02  0.135125332726E+00  0.000000000000E+00  0.000000000000E+00
  0.960388707829E+00  0.000000000000E+00  0.108282356450E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.155714791147E-01  0.513607480000E-02  0.135352000636E+00  0.000000000000E+00  0.000000000000E+00
  0.963330900918E+00  0.000000000000E+00  0.104458284837E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.144844964216E-01  0.410978216709E-02  0.135403011929E+00  0.000000000000E+00  0.000000000000E+00
  0.966140090518E+00  0.000000000000E+00  0.100253229856E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.134325107284E-01  0.322496710886E-02  0.135285700503E+00  0.000000000000E+00  0.000000000000E+00
  0.968821817313E+00  0.000000000000E+00  0.956445103786E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.124156824678E-01  0.247904172256E-02  0.135033495896E+00  0.000000000000E+00  0.000000000000E+00
  0.971381434842E+00  0.000000000000E+00  0.906277284700E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.114342900404E-01  0.186485966821E-02  0.134707093533E+00  0.000000000000E+00  0.000000000000E+00
  0.973824111625E+00  0.000000000000E+00  0.852230724737E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.104886419771E-01  0.137137139035E-02  0.134383301255E+00  0.000000000000E+00  0.000000000000E+00
  0.976154833749E+00  0.000000000000E+00  0.794783507893E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.957894216483E-02  0.984677133148E-03  0.134131938079E+00  0.000000000000E+00  0.000000000000E+00
  0.978378407823E+00  0.000000000000E+00  0.734666590540E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.870515446037E-02  0.689305036308E-03  0.133992055655E+00  0.000000000000E+00  0.000000000000E+00
  0.980499464277E+00  0.000000000000E+00  0.672784146325E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.786692535138E-02  0.469492415725E-03  0.133962950497E+00  0.000000000000E+00  0.000000000000E+00
  0.982522460931E+00  0.000000000000E+00  0.610099089733E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.706359397411E-02  0.310261419537E-03  0.134014998374E+00  0.000000000000E+00  0.000000000000E+00
  0.984451686808E+00  0.000000000000E+00  0.547519159104E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.629426912254E-02  0.198162262451E-03  0.134110177963E+00  0.000000000000E+00  0.000000000000E+00
  0.986291266134E+00  0.000000000000E+00  0.485813809654E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.555792559627E-02  0.121666438377E-03  0.134218180644E+00  0.000000000000E+00  0.000000000000E+00
  0.988045162495E+00  0.000000000000E+00  0.425574342568E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.485348156846E-02  0.712723668955E-04  0.134321971235E+00  0.000000000000E+00  0.000000000000E+00
  0.989717183115E+00  0.000000000000E+00  0.367212326225E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.417984412900E-02  0.394146890743E-04  0.134415393588E+00  0.000000000000E+00  0.000000000000E+00
  0.991310983230E+00  0.000000000000E+00  0.310982569111E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.353592897259E-02  0.202605375735E-04  0.134498100054E+00  0.000000000000E+00  0.000000000000E+00
  0.992830070512E+00  0.000000000000E+00  0.257016603250E+01  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.292066609353E-02  0.945479054491E-05  0.134571281781E+00  0.000000000000E+00  0.000000000000E+00
