                   y                   u                   w                   h                   T                 rho                   k                 eps                  v2                  om                nuSA                 mut                  Pk                 bF1                 bF2
  0.188367710350E+01  0.000000000000E+00  0.141460034703E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.258660984689E+01  0.000000000000E+00  0.390311860215-321  0.914325110229E+02  0.000000000000E+00  0.282898264877E-01  0.229229219565E+02  0.999999760750E+00  0.999999999689E+00
  0.189539721294E+01  0.000000000000E+00  0.137912493217E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.258897894574E+01  0.000000000000E+00  0.475216053321-317  0.103747936531E+03  0.000000000000E+00  0.249545105000E-01  0.260552613588E+02  0.999999199193E+00  0.999999999255E+00
  0.190617235807E+01  0.000000000000E+00  0.134202126202E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.258137448508E+01  0.000000000000E+00  0.000000000000E+00  0.118254473684E+03  0.000000000000E+00  0.218289797496E-01  0.296519784952E+02  0.999996975664E+00  0.999999997971E+00
  0.191606868264E+01  0.000000000000E+00  0.130305711459E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.256242439102E+01  0.000000000000E+00  0.689955178091-309  0.135472499992E+03  0.000000000000E+00  0.189147200939E-01  0.337884852370E+02  0.999987395644E+00  0.999999993696E+00
  0.192514939610E+01  0.000000000000E+00  0.126194452165E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.253032145584E+01  0.000000000000E+00  0.000000000000E+00  0.156080588272E+03  0.000000000000E+00  0.162116347141E-01  0.385466371789E+02  0.999994063093E+00  0.999999977663E+00
  0.193347459419E+01  0.000000000000E+00  0.121832537284E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.248268118111E+01  0.000000000000E+00  0.689955213297-309  0.180974449571E+03  0.000000000000E+00  0.137184072923E-01  0.440076244576E+02  0.999999972036E+00  0.999999910011E+00
  0.194110115286E+01  0.000000000000E+00  0.117175254490E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.241635705487E+01  0.000000000000E+00  0.790568273749-316  0.211351822637E+03  0.000000000000E+00  0.114328660747E-01  0.502351287301E+02  0.999999999987E+00  0.999999590183E+00
  0.194808268346E+01  0.000000000000E+00  0.112166547571E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.232721146270E+01  0.000000000000E+00  0.108694442085-321  0.248837006332E+03  0.000000000000E+00  0.935235287269E-02  0.572386008902E+02  0.100000000000E+01  0.999997910358E+00
  0.195446953812E+01  0.000000000000E+00  0.106735969326E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.220986612252E+01  0.000000000000E+00  0.494065645841-323  0.295666556795E+03  0.000000000000E+00  0.747418367152E-02  0.648967765797E+02  0.100000000000E+01  0.999988237896E+00
  0.196030885562E+01  0.000000000000E+00  0.100795238654E+02  0.000000000000E+00  0.100000000000E+01  0.100000000000E+01  0.205753083580E+01  0.000000000000E+00  0.484184332924-321  0.354975153959E+03  0.000000000000E+00  0.579626726362E-02  0.728037771318E+02  0.100000000000E+01  0.999991223494E+00
